better_row,worse_row,score_mffc_best,score_ml_pick,quality_mffc,quality_ml_pick,abc_agreed_mffc,circuit
10605,10606,-7.158,-5.2452,1.0,0.0,True,cavlc
10625,10663,-0.4085,0.4156,1.0,0.0004,False,cavlc
10625,10618,-0.4085,-0.4006,1.0,0.0003,False,cavlc
11107,11149,-0.4085,0.4156,1.0,0.0004,False,cavlc
11107,11103,-0.4085,-0.4006,1.0,0.0003,False,cavlc
11215,11247,-0.4092,0.4133,1.0,0.0004,False,cavlc
11215,11210,-0.4092,-0.4006,1.0,0.0003,False,cavlc
11903,11957,-0.4082,0.4168,1.0,0.0004,False,ctrl
12186,12230,-0.4079,0.418,1.0,0.0004,False,ctrl
12291,12343,-0.4079,0.418,1.0,0.0004,False,ctrl
13656,13657,-7.225,-5.2079,1.0,0.0,True,div
13671,13673,-1.2643,-0.9897,1.0,0.0,False,div
13672,13673,-1.2643,-0.9897,1.0,0.0,False,div
13761,13763,-3.4211,-2.5104,1.0,0.0,False,div
13762,13763,-3.4211,-2.5104,1.0,0.0,False,div
13765,13767,-3.2188,-2.5357,1.0,0.0,False,div
13766,13767,-3.2188,-2.5357,1.0,0.0,False,div
13771,13773,-3.111,-2.5233,1.0,0.0,False,div
13772,13773,-3.111,-2.5233,1.0,0.0,False,div
13816,13817,-7.4243,-5.2055,1.0,0.0,True,div
13864,13866,-2.8952,-1.5214,1.0,0.0,False,div
13865,13866,-2.8952,-1.5214,1.0,0.0,False,div
13879,13877,-2.5011,-2.2861,1.0,0.0013,False,div
13879,13878,-2.5011,-2.2861,1.0,0.0013,False,div
14076,14077,-1.21,-0.5842,1.0,0.0,False,div
14075,14077,-1.9628,-0.5842,1.0,0.0,False,div
14160,14157,0.4479,1.9027,1.0,0.5898,False,div
14375,14377,-1.0741,-0.5573,1.0,0.0,False,div
14376,14377,-1.0741,-0.5573,1.0,0.0,False,div
14379,14380,-1.4692,-0.3127,1.0,0.9997,False,div
14379,14381,-1.4692,-0.3127,1.0,0.9997,False,div
14379,14384,-1.4692,-0.3127,1.0,0.9997,False,div
14379,14385,-1.4692,-0.3127,1.0,0.9997,False,div
14379,14386,-1.4692,-0.4313,1.0,0.0,False,div
14388,14390,-1.0041,-0.3983,1.0,0.0,False,div
14389,14390,-1.0041,-0.3983,1.0,0.0,False,div
14978,14987,-0.7416,0.327,1.0,0.0,True,div
14982,14987,-0.7983,0.327,0.9997,0.0,False,div
63251,63246,-2.3465,-0.5505,1.0,0.0,False,div
63251,63250,-2.3465,-0.5505,1.0,0.0,False,div
63251,63249,-2.3465,-2.1266,1.0,0.0,False,div
85509,85510,-3.066,-0.7362,1.0,0.0,True,div
111560,111563,-0.863,-0.7723,1.0,0.0052,False,div
111560,111564,-0.863,-0.7724,1.0,0.0052,False,div
111560,111565,-0.863,-0.7724,1.0,0.0052,False,div
111560,111566,-0.863,-0.7724,1.0,0.0052,False,div
111560,111567,-0.863,-0.7724,1.0,0.0052,False,div
158721,158722,-0.8638,1.1592,1.0,0.0,False,div
256571,256572,-3.9977,-3.9221,0.0,0.0,True,div
279976,279979,-0.8104,-0.649,1.0,0.002,False,div
279976,279980,-0.8104,-0.649,1.0,0.002,False,div
279976,279981,-0.8104,-0.649,1.0,0.002,False,div
279976,279982,-0.8104,-0.649,1.0,0.002,False,div
279976,279983,-0.8104,-0.649,1.0,0.002,False,div
280263,280264,-4.0067,-3.7691,0.0,0.0,True,div
345808,345809,-3.0918,-2.8409,0.0,0.0,False,div
351296,351297,-3.2317,-1.5387,1.0,0.0,True,div
450451,450454,-0.863,-0.7724,1.0,0.005,False,div
450451,450455,-0.863,-0.7724,1.0,0.005,False,div
450451,450456,-0.863,-0.7724,1.0,0.005,False,div
450451,450457,-0.863,-0.7724,1.0,0.005,False,div
450451,450458,-0.863,-0.7725,1.0,0.005,False,div
497919,497920,-0.8642,1.1574,1.0,0.0,False,div
596169,596170,-3.9977,-3.9231,0.0,0.0,True,div
619604,619607,-0.8105,-0.6491,1.0,0.002,False,div
619604,619608,-0.8105,-0.6491,1.0,0.002,False,div
619604,619609,-0.8105,-0.6491,1.0,0.002,False,div
619604,619610,-0.8105,-0.6491,1.0,0.002,False,div
619604,619611,-0.8105,-0.6491,1.0,0.002,False,div
619871,619872,-4.0067,-3.7702,0.0,0.0,True,div
648152,648147,-0.7757,-0.7757,1.0,1.0,False,div
648152,648145,-0.7757,-0.7757,1.0,1.0,False,div
697610,697611,-3.946,-3.0434,0.0,0.0,True,div
717267,717271,2.4471,3.6309,1.0,0.8596,False,hyp
725140,725143,-1.1595,-0.0631,1.0,0.0,True,hyp
725142,725143,-2.1619,-0.0631,0.8005,0.0,False,hyp
836495,836496,-3.1725,-0.0288,1.0,0.0,True,hyp
844917,844918,-3.2597,-0.3912,1.0,0.0,True,hyp
888304,888305,-3.1749,-0.009,1.0,0.0,True,hyp
911093,911094,-3.2609,-0.3932,1.0,0.0,True,hyp
967378,967379,-3.2634,-0.3977,1.0,0.0,True,hyp
973236,973237,-3.3223,-0.779,1.0,0.0,True,hyp
987695,987696,-3.3223,-0.8392,1.0,0.0,True,hyp
1036674,1036675,-3.326,-0.7858,1.0,0.0,True,hyp
1071049,1071050,-3.3356,-0.8873,1.0,0.0,True,hyp
1150191,1150192,-3.19,-0.0759,1.0,0.0,True,hyp
1152339,1152341,-2.117,-0.5002,1.0,0.0,True,hyp
1168643,1168644,-3.2783,-0.511,1.0,0.0,True,hyp
1321105,1321108,-1.218,-0.3238,1.0,0.0,False,hyp
1321104,1321108,-2.2695,-0.3238,0.8005,0.0,True,hyp
1371615,1371616,-3.3215,-0.5833,1.0,0.0,True,hyp
1377553,1377554,-3.2323,-0.422,1.0,0.0,True,hyp
1393924,1393925,-3.333,-0.9827,1.0,0.0,True,hyp
1413740,1413741,-3.3477,-0.6535,1.0,0.0,True,hyp
1447396,1447400,-1.3166,-1.0012,0.0004,0.0,True,hyp
1526104,1526107,-1.1595,-0.0631,1.0,0.0,True,hyp
1526106,1526107,-2.1619,-0.0631,0.8005,0.0,False,hyp
1637412,1637413,-3.1725,-0.0288,1.0,0.0,True,hyp
1645885,1645886,-3.2597,-0.3912,1.0,0.0,True,hyp
1689418,1689419,-3.1749,-0.009,1.0,0.0,True,hyp
1712207,1712208,-3.2609,-0.3932,1.0,0.0,True,hyp
1768335,1768336,-3.2634,-0.3977,1.0,0.0,True,hyp
1788657,1788658,-3.3223,-0.8392,1.0,0.0,True,hyp
1837614,1837615,-3.326,-0.7858,1.0,0.0,True,hyp
1872086,1872087,-3.3356,-0.9295,1.0,0.0,True,hyp
1951272,1951273,-3.19,-0.0759,1.0,0.0,True,hyp
1953238,1953239,-3.1913,-0.0792,1.0,0.0,True,hyp
1953385,1953387,-2.117,-0.5002,1.0,0.0,True,hyp
1969685,1969686,-3.2783,-0.511,1.0,0.0,True,hyp
2088559,2088560,-3.3569,-0.9646,1.0,0.0,True,hyp
2121706,2121709,-1.218,-0.3238,1.0,0.0,False,hyp
2121705,2121709,-2.2695,-0.3238,0.8005,0.0,True,hyp
2148268,2148269,-3.2205,-0.0904,1.0,0.0,True,hyp
2172554,2172555,-3.3215,-0.5833,1.0,0.0,True,hyp
2194719,2194720,-3.333,-0.9827,1.0,0.0,True,hyp
2214768,2214769,-3.3477,-0.6535,1.0,0.0,True,hyp
2261147,2261150,-1.3851,-0.9407,1.0,0.0,False,hyp
2261146,2261150,-2.6,-0.9407,0.8005,0.0,True,hyp
2273878,2273879,-3.5546,-1.1902,1.0,0.0,True,hyp
2345713,2345712,-4.0331,-2.3214,1.0,0.0,False,hyp
2346047,2346050,-3.8901,-0.0394,1.0,0.9722,True,hyp
2346047,2346049,-3.8901,-0.9008,1.0,0.0139,True,hyp
2346454,2346453,-4.0063,-2.2972,1.0,0.0,False,hyp
2347381,2347380,-3.9806,-2.2802,1.0,0.0,False,hyp
2348677,2348676,-3.9422,-2.2477,1.0,0.0,False,hyp
2349052,2349055,-2.0867,-0.8442,1.0,0.009,False,hyp
2350246,2350245,-3.9033,-2.2223,1.0,0.0,False,hyp
2352228,2352227,-3.8609,-2.1965,1.0,0.0,False,hyp
2354572,2354571,-3.8144,-2.1702,1.0,0.0,False,hyp
2356981,2356980,-3.7664,-2.1512,1.0,0.0,False,hyp
2359685,2359684,-3.7045,-2.1166,1.0,0.0,False,hyp
2362628,2362627,-3.6437,-2.0891,1.0,0.0,False,hyp
2365979,2365978,-3.5769,-2.0613,1.0,0.0,False,hyp
2368154,2368155,-0.1032,1.2445,1.0,0.0534,False,hyp
2369549,2369548,-3.499,-2.033,1.0,0.0,False,hyp
2371785,2371786,-0.0449,1.4833,1.0,0.0589,False,hyp
2373315,2373314,-3.4191,-2.0118,1.0,0.0,False,hyp
2373642,2373645,-2.0767,-0.7278,1.0,0.0038,False,hyp
2377360,2377359,-3.3202,-1.9752,1.0,0.0,False,hyp
2379799,2379800,0.0841,1.9966,1.0,0.0712,False,hyp
2381665,2381664,-3.2241,-1.9457,1.0,0.0,False,hyp
2386228,2386227,-3.1189,-1.9158,1.0,0.0,False,hyp
2388949,2388950,0.2294,2.5574,1.0,0.0852,False,hyp
2391039,2391038,-3.001,-1.8855,1.0,0.0,False,hyp
2394005,2394006,0.3082,2.8045,1.0,0.0926,False,hyp
2396203,2396202,-2.8857,-1.8623,1.0,0.0,False,hyp
2401497,2401496,-2.7457,-1.8236,1.0,0.0,False,hyp
2404556,2404557,0.4203,3.1758,1.0,0.1087,False,hyp
2407060,2407059,-2.6073,-1.7905,1.0,0.0,False,hyp
2413041,2413040,-2.4547,-1.7551,1.0,0.0,False,hyp
2419151,2419150,-2.2794,-1.7192,1.0,0.0,False,hyp
2425473,2425472,-2.1078,-1.6904,1.0,0.0,False,hyp
2432157,2432156,-1.8823,-1.6441,1.0,0.0,False,hyp
2439117,2439116,-1.661,-1.5945,1.0,0.0,False,hyp
2450581,2450582,0.6119,4.2212,1.0,0.1773,False,hyp
2458220,2458221,0.6378,4.3689,1.0,0.1888,False,hyp
2466072,2466073,0.6646,4.5182,1.0,0.2003,False,hyp
2474117,2474118,0.7453,4.6773,1.0,0.2124,False,hyp
2491328,2491329,1.1452,5.0141,1.0,0.2379,False,hyp
2495776,2495781,-2.1349,-1.7983,1.0,0.0,False,hyp
2495780,2495781,-2.1349,-1.7983,1.0,0.0,False,hyp
2524016,2524018,-0.8373,-0.7077,1.0,0.0,True,hyp
2524019,2524020,-0.8373,-0.7071,1.0,0.0,True,hyp
2524042,2524043,-0.8382,-0.702,1.0,0.0,False,hyp
2528958,2528959,-0.8738,-0.5115,1.0,0.0,False,hyp
2533525,2533526,-0.8089,-0.6718,1.0,0.0,True,hyp
2533988,2533989,-0.9085,-0.3234,1.0,0.0,True,hyp
2534012,2534013,-0.9094,-0.3183,1.0,0.0,False,hyp
2534061,2534062,-0.9103,-0.3133,1.0,0.0,False,hyp
2539084,2539085,-0.9455,-0.1221,1.0,0.0,False,hyp
2543786,2543787,-0.885,-0.2603,1.0,0.0,True,hyp
2544255,2544257,-0.9811,0.0699,1.0,0.0,True,hyp
2544258,2544259,-0.9811,0.0704,1.0,0.0,True,hyp
2544280,2544281,-0.9821,0.0755,1.0,0.0,False,hyp
2549537,2549538,-1.0191,0.2773,1.0,0.0,False,hyp
2554373,2554374,-0.9621,0.1618,1.0,0.0,True,hyp
2554788,2554789,-1.0568,0.4773,1.0,0.0,True,hyp
2554810,2554811,-1.0577,0.4825,1.0,0.0,False,hyp
2554860,2554861,-1.0587,0.4876,1.0,0.0,False,hyp
2560152,2560153,-1.097,0.6902,1.0,0.0,False,hyp
2560159,2560160,3.3327,6.3623,1.0,0.3384,False,hyp
2565123,2565124,-1.0411,0.5945,1.0,0.0,True,hyp
2565574,2565576,-1.1358,0.8948,1.0,0.0,True,hyp
2565577,2565578,-1.1358,0.8953,1.0,0.0,True,hyp
2565599,2565600,-1.1368,0.9005,1.0,0.0,False,hyp
2565648,2565649,-1.1377,0.9056,1.0,0.0,False,hyp
2571103,2571104,-1.177,1.1133,1.0,0.0,False,hyp
2571110,2571111,3.6978,6.5521,1.0,0.3543,False,hyp
2576225,2576226,-1.1221,1.0379,1.0,0.0,True,hyp
2576676,2576678,-1.2168,1.3231,1.0,0.0,True,hyp
2576679,2576680,-1.2168,1.3236,1.0,0.0,True,hyp
2576702,2576703,-1.2178,1.3287,1.0,0.0,False,hyp
2576751,2576752,-1.2187,1.3338,1.0,0.0,False,hyp
2582415,2582416,-1.258,1.5466,1.0,0.0,False,hyp
2582422,2582423,4.0454,6.7466,1.0,0.3706,False,hyp
2587652,2587653,-1.205,1.4919,1.0,0.0,True,hyp
2588080,2588083,-1.2944,1.7641,1.0,0.0,False,hyp
2588081,2588083,-1.2945,1.7641,1.0,0.0,False,hyp
2588106,2588107,-1.2954,1.7703,1.0,0.0,False,hyp
2588109,2588114,-2.1597,1.7637,1.0,0.0,False,hyp
