benchmark,cut_limit,run,luts,levels,time_sec
adder,2,1,337,51,0.0552
adder,2,2,337,51,0.0572
adder,2,3,337,51,0.0571
adder,4,1,254,51,0.0606
adder,4,2,254,51,0.0582
adder,4,3,254,51,0.0598
adder,8,1,254,51,0.0634
adder,8,2,254,51,0.061
adder,8,3,254,51,0.0607
adder,16,1,257,51,0.0649
adder,16,2,257,51,0.0649
adder,16,3,257,51,0.0649
adder,32,1,257,51,0.0704
adder,32,2,257,51,0.0685
adder,32,3,257,51,0.0695
adder,64,1,257,51,0.0694
adder,64,2,257,51,0.0685
adder,64,3,257,51,0.0697
bar,2,1,512,4,0.0635
bar,2,2,512,4,0.0614
bar,2,3,512,4,0.063
bar,4,1,512,4,0.064
bar,4,2,512,4,0.0632
bar,4,3,512,4,0.0673
bar,8,1,512,4,0.0707
bar,8,2,512,4,0.0685
bar,8,3,512,4,0.0697
bar,16,1,512,4,0.0773
bar,16,2,512,4,0.0757
bar,16,3,512,4,0.0783
bar,32,1,512,4,0.0955
bar,32,2,512,4,0.0925
bar,32,3,512,4,0.0928
bar,64,1,512,4,0.1064
bar,64,2,512,4,0.1053
bar,64,3,512,4,0.1071
div,2,1,22339,864,0.2599
div,2,2,22339,864,0.2637
div,2,3,22339,864,0.2628
div,4,1,21118,864,0.4171
div,4,2,21118,864,0.4101
div,4,3,21118,864,0.4101
div,8,1,22030,864,0.8176
div,8,2,22030,864,0.8193
div,8,3,22030,864,0.8182
div,16,1,22332,864,1.6339
div,16,2,22332,864,1.6334
div,16,3,22332,864,1.6331
div,32,1,22232,864,3.0497
div,32,2,22232,864,3.0563
div,32,3,22232,864,3.0486
div,64,1,22482,864,5.236
div,64,2,22482,864,5.225
div,64,3,22482,864,5.2262
hyp,2,1,55175,4199,0.8016
hyp,2,2,55175,4199,0.7879
hyp,2,3,55175,4199,0.8005
hyp,4,1,45293,4194,1.4651
hyp,4,2,45293,4194,1.45
hyp,4,3,45293,4194,1.4608
hyp,8,1,44508,4194,3.0649
hyp,8,2,44508,4194,3.0442
hyp,8,3,44508,4194,3.0479
hyp,16,1,44461,4195,6.6071
hyp,16,2,44461,4195,6.7937
hyp,16,3,44461,4195,6.6901
hyp,32,1,44581,4193,13.766
hyp,32,2,44581,4193,13.802
hyp,32,3,44581,4193,13.8708
hyp,64,1,44456,4192,27.1557
hyp,64,2,44456,4192,27.0933
hyp,64,3,44456,4192,26.9592
log2,2,1,8532,77,0.1636
log2,2,2,8532,77,0.1675
log2,2,3,8532,77,0.1672
log2,4,1,8225,77,0.2839
log2,4,2,8225,77,0.2842
log2,4,3,8225,77,0.2834
log2,8,1,8010,77,0.5589
log2,8,2,8010,77,0.5533
log2,8,3,8010,77,0.5547
log2,16,1,7908,77,1.0586
log2,16,2,7908,77,1.0606
