benchmark,category,abc_luts,abc_levels,abc_time,ml_luts,ml_levels,ml_time,luts_imp%,levels_imp%,adp_abc,adp_ml,adp_imp%,speedup
adder,arithmetic,254,51,3.6002,254,51,0.3521,0.0,0.0,12954,12954,0.0,10.225
bar,arithmetic,512,4,0.066,512,4,0.0742,0.0,0.0,2048,2048,0.0,0.889
div,arithmetic,22030,864,0.7815,19942,864,2.2207,9.48,0.0,19033920,17229888,9.48,0.352
hyp,arithmetic,44508,4194,2.881,41969,4194,7.6152,5.7,0.0,186666552,176017986,5.7,0.378
log2,arithmetic,8010,77,0.5315,7778,77,1.2958,2.9,0.0,616770,598906,2.9,0.41
max,arithmetic,842,56,0.0738,831,56,0.1234,1.31,0.0,47152,46536,1.31,0.598
multiplier,arithmetic,5929,53,0.4071,5683,53,0.9877,4.15,0.0,314237,301199,4.15,0.412
sin,arithmetic,1464,42,0.1321,1421,42,0.246,2.94,0.0,61488,59682,2.94,0.537
sqrt,arithmetic,5724,1033,0.4077,5180,1033,0.9333,9.5,0.0,5912892,5350940,9.5,0.437
square,arithmetic,3997,50,0.4633,3502,50,0.7688,12.38,0.0,199850,175100,12.38,0.603
arbiter,random_control,2722,18,0.1231,2722,18,0.1854,0.0,0.0,48996,48996,0.0,0.664
cavlc,random_control,122,4,0.0564,122,4,0.0607,0.0,0.0,488,488,0.0,0.929
ctrl,random_control,29,2,0.0539,29,2,0.0537,0.0,0.0,58,58,0.0,1.004
dec,random_control,287,2,0.0532,287,2,0.0526,0.0,0.0,574,574,0.0,1.011
i2c,random_control,365,4,0.0633,362,4,0.0711,0.82,0.0,1460,1448,0.82,0.89
int2float,random_control,49,3,0.057,49,3,0.0557,0.0,0.0,147,147,0.0,1.023
mem_ctrl,random_control,12104,25,0.5522,11914,25,1.3741,1.57,0.0,302600,297850,1.57,0.402
priority,random_control,219,31,0.0588,218,31,0.067,0.46,0.0,6789,6758,0.46,0.878
router,random_control,91,11,0.054,91,11,0.0558,0.0,0.0,1001,1001,0.0,0.968
voter,random_control,2826,17,0.1695,2785,17,0.3381,1.45,0.0,48042,47345,1.45,0.501
